Instance, Length A_prime_CG
inst_100_10_1, 22944
inst_100_10_2, 15789
inst_100_10_3, 10593
inst_100_10_4, 41149
inst_100_30_1, 97605
inst_100_30_2, 87965
inst_100_30_3, 60261
inst_100_30_4, 195993
inst_100_50_1, 221775
inst_100_50_2, 190707
inst_100_50_3, 123684
inst_100_50_4, 336692
inst_10_1_1, 202
inst_200_10_1, 96489
inst_200_10_2, 72346
inst_200_10_3, 38900
inst_200_10_4, 205068
inst_200_30_1, 512442
inst_200_30_2, 410851
inst_200_30_3, 287247
inst_200_30_4, 830150
inst_200_50_1, 715429
inst_200_50_2, 881217
inst_200_50_3, 505800
inst_20_10_1, 817
inst_20_10_2, 686
inst_20_10_3, 447
inst_20_10_4, 1280
inst_20_30_1, 2150
inst_20_30_2, 2219
inst_20_30_3, 1353
inst_20_30_4, 2540
inst_20_50_1, 3410
inst_20_50_2, 2608
inst_20_50_3, 2432
inst_20_50_4, 3770
inst_40_10_1, 3981
inst_40_10_2, 2965
inst_40_10_3, 1647
inst_40_10_4, 5548
inst_40_30_1, 8356
inst_40_30_2, 12082
inst_40_30_3, 9350
inst_40_30_4, 15587
inst_40_50_1, 14051
inst_40_50_2, 16743
inst_40_50_3, 14577
inst_40_50_4, 27201
inst_500_30_1, 4728831
inst_500_30_2, 2815494
inst_500_30_3, 1741931
inst_60_10_1, 8602
inst_60_10_2, 5927
inst_60_10_3, 4112
inst_60_10_4, 18080
inst_60_30_1, 26433
inst_60_30_2, 27233
inst_60_30_3, 20662
inst_60_30_4, 37981
inst_60_50_1, 42455
inst_60_50_2, 54013
inst_60_50_3, 32036
inst_60_50_4, 107505
